profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/2644425,Osmar Fleitas,Paraguay,Men,4767,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1193433,Konrad Aksamski,Poland,Men,2048,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/502733,Alexander Herewini,Australia,Men,3860,200,,150,201,,,2:39,2:12,,,50,,,125,
https://games.crossfit.com/athlete/2109159,Sunjae Han,"Korea, Republic of",Men (35-39),537,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1556943,Alejandro De la Guardia Santana,Spain,Men,1893,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1270372,Jordan Jorion,France,Men,3081,166,67:00,130,200,287,,3:30,4:30,8:40,,54,47:00,21:18,101,0:55
https://games.crossfit.com/athlete/351405,Gavin Stander,South Africa,Men (35-39),3098,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1710046,Luca Guerra,Italy,Men,538,185,,131,205,,,2:30,,,,29,,,115,
https://games.crossfit.com/athlete/2168317,Cain Eisele,Australia,Men,4015,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2477857,Alex Fisher,Australia,Men,4475,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2416734,Bruce Mabagos,New Zealand,Men,3684,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/9876,Clint Russell,United States,Men (40-44),1614,355,,,475,,,2:24,2:03,7:09,,64,,,205,
https://games.crossfit.com/athlete/1796311,Harry Charlier,United Kingdom,Men,3342,190,,146,270,,,,,,,58,,,110,
https://games.crossfit.com/athlete/2363065,junghyun LEE,"Korea, Republic of",Men,877,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/929178,Andreas Methenitis,United Kingdom,Men,1008,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1740483,Connor Lord,United Kingdom,Men,3933,180,,141,200,359,,3:10,2:01,,4:03,50,42:39,23:33,110,
