profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/2305071,Ross Watters,United Kingdom,Men,2240,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1547671,Jonathan Meisel,Sweden,Men,2798,160,,121,211,,,2:44,1:57,8:40,,,,21:30,90,
https://games.crossfit.com/athlete/1609791,Samuel Hagen,United States,Men,1822,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2406937,Daniel Vermont,United Kingdom,Men (35-39),4143,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/105109,Daniel Corica,Australia,Men (35-39),2628,155,53:43,120,200,384,19:00,2:25,1:48,7:53,,50,44:09,19:56,91,
https://games.crossfit.com/athlete/452592,Luiz Outor,Brazil,Men,1465,265,,275,445,,,4:17,3:13,,,,,,185,
https://games.crossfit.com/athlete/2383676,Kanji Sakiyama,Japan,Men,665,12,,10,2,,,0:10,,,,,,,10,
https://games.crossfit.com/athlete/480628,Anthony Luchansky,United States,Men (35-39),693,380,,308,475,499,,2:14,,7:18,,,35:38,,215,0:54
https://games.crossfit.com/athlete/711599,Xabier Hernando,Spain,Men,3172,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1426608,Brandon Van Niekerk,South Africa,Men,828,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2005913,Nick Luff,Australia,Men,1303,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1954363,Shaquille Hamilton,United States,Men,1130,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1600569,Lee Taylor,United States,Men,3056,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1966663,Blaine Terry,United States,Men (35-39),1817,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1993994,Oscar Gordon,Australia,Men,2882,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1966490,Michael Miklusicak,United States,Men,1786,550,,335,500,,,2:53,,7:56,,,,,260,
https://games.crossfit.com/athlete/1973378,cooper McCallum,Australia,Men,4873,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/845892,JeongUk Ha,"Korea, Republic of",Men (35-39),2259,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/461950,Eren Kim,"Korea, Republic of",Men,1192,375,,300,441,,,2:26,,,,,,,250,
https://games.crossfit.com/athlete/2414102,Miguel Catita,Portugal,Men,671,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/675079,Fran Granados,Spain,Men (40-44),2733,110,,,150,,,3:57,,,,,,,65,
https://games.crossfit.com/athlete/1992752,Connor Weitz,United States,Men,2167,500,,335,565,482,,2:13,,,,,,,230,
https://games.crossfit.com/athlete/683669,Buck Jacobs,United States,Men (45-49),2351,345,,275,435,,,2:34,1:52,7:56,,44,31:55,,205,
https://games.crossfit.com/athlete/1612828,Oscar Nevermann,Sweden,Men,486,440,,325,506,,,1:58,1:04,,,40,,21:46,260,
