profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fran,maxpull-ups,run5k,fightgonebad,filthy50,grace,helen,sprint400m,murph,chad1000x,l1benchmark,runrowrunrx,run400m,runrowrunsprint,runrowrunscaled
https://games.crossfit.com/athlete/1237663,Felipe Reis,Brazil,Men,156,110,190,84,8:25,20,28:31,,,3:56,,1:25,,,,,,,
https://games.crossfit.com/athlete/2628903,Jungwoo An,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2178592,Mitchel Cook,Canada,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/458930,Bastien Bouyeron,France,Men (40-44),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2308861,Orcun Ozkan,Turkey,Men,430,287,496,231,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/260067,Ralph Yun,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/741447,Justin Huckaby,United States,Men,375,300,485,235,,,,,,1:57,9:10,,,,,,,,
https://games.crossfit.com/athlete/550580,Paul Dillaway,United States,Men (35-39),465,315,515,235,2:58,41,,,,,7:42,,,,,,,,
https://games.crossfit.com/athlete/923468,Tiago Luzes,Portugal,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1962735,Timofey Orlov,Kazakhstan,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2694927,Javier Veliz,Argentina,Men (40-44),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/534300,Jose Antonio Manzaneque,Spain,Men (40-44),150,110,205,85,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1727152,Martin Bähr,Germany,Men,150,110,180,85,,22,20:35,,,,,,,,,,,,
https://games.crossfit.com/athlete/948668,Clément Castano,France,Men,173,120,200,83,,,18:47,,,,,,,,,,,,
https://games.crossfit.com/athlete/764319,Juan Rozo,United States,Men,365,315,522,240,2:26,,,,,2:50,,1:09,,,,,,,
https://games.crossfit.com/athlete/461407,Wojciech Sulima,Poland,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1881675,Connor Voltz,United States,Men,485,355,500,285,2:06,100,,,,,,0:54,,,,,,,
https://games.crossfit.com/athlete/1690476,Daniel McKay,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2519502,김 도형,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2783096,Weuques Morais,Brazil,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/69623,Zachary Seale,United States,Men (35-39),325,280,405,215,2:48,,,346,,2:15,8:06,0:54,,,,,,,
https://games.crossfit.com/athlete/735945,Adrien Rodriguez,France,Men,150,110,160,85,3:31,,,,,,,,,,,,,,
