profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fightgonebad,filthy50,fran,grace,maxpull-ups,run5k
https://games.crossfit.com/athlete/408198,David Mata,Spain,Men,170,120,200,90,,,,,,
https://games.crossfit.com/athlete/1948894,Josh Dommersnes,Australia,Men,,,,,,,,,,
https://games.crossfit.com/athlete/105874,Khan Porter,Australia,Men (35-39),200,160,250,133,468,16:40,2:01,1:10,50,18:38
