profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/1827888,Dillon Boss,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2547976,Troy Baunsgard,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2391227,Jose Guillermo Cruz Gomar Falla,Guatemala,Men,465,290,545,1:59,220,3:05,26,,,,19:49,,1:18,,47:50,
https://games.crossfit.com/athlete/336132,Anthony Ayala,United States,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/168464,Matt Cardin,United States,Men,415,300,470,1:19,235,1:55,94,387,16:46,6:42,,,1:00,,,
https://games.crossfit.com/athlete/546924,Aaron Helmly,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/137834,Chema Arriaga,Spain,Men,,,180,,110,,70,,,,,,,,,
https://games.crossfit.com/athlete/2174849,Axel Giménez,Argentina,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1552074,Yohan Valles,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2392212,Jack Sweeney,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/473814,Landon Ellis,United States,Men,430,285,445,2:09,235,2:26,,,,,,,,,,
https://games.crossfit.com/athlete/1699745,Jeremy Gwizdala,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1357453,Brandon Foor,United States,Men,455,355,515,1:45,285,2:21,,,,,,,,,,
https://games.crossfit.com/athlete/665223,Michal Wesolowski,Poland,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/989334,Hans Koellnberger,United States,Men,475,345,535,,280,4:24,,,,,,,0:51,,,
https://games.crossfit.com/athlete/1612828,Oscar Nevermann,Sweden,Men,440,325,506,1:04,260,1:58,40,,,,21:46,,,,,
https://games.crossfit.com/athlete/431419,Nelson Costa,Portugal,Men (35-39),140,100,210,,90,,,,,,,,,,,
https://games.crossfit.com/athlete/558482,Jonathan ganicus Mongrain,Canada,Men (35-39),435,335,435,2:14,265,2:04,77,,,7:25,19:37,,0:57,,,
https://games.crossfit.com/athlete/684745,Logan Ewing,United States,Men,435,345,515,,285,1:59,65,,,7:58,17:25,,0:50,,,
https://games.crossfit.com/athlete/1537751,Mario Kainz,Austria,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1552764,Geronimo Beaudean,Argentina,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1213381,Cameron Doyle,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/780386,David Vanhamme,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2851452,Huw Davis,United Kingdom,Men (40-44),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1059218,Rui Figueiredo,Portugal,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/136272,James McLaughlan,United States,Men (35-39),420,315,500,1:32,250,2:02,80,418,13:12,6:42,19:42,,1:00,,,
https://games.crossfit.com/athlete/1964693,Raymond Sabat,Lebanon,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2014542,Ryan Townson,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/937855,Leandro Osella,Argentina,Men (35-39),,,,,,,,,,476:00,,,,,,
https://games.crossfit.com/athlete/2141853,Ben Hickson,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/521179,Kun Seok Kim,"Korea, Republic of",Men,405,305,475,1:58,235,2:07,70,,19:20,,,,,,,
https://games.crossfit.com/athlete/2582405,Ilya Moskalenko,Ukraine,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1999061,Corentin Fourcaud,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/642094,Cam Crockett,United States,Men,440,347,480,1:16,265,2:05,,481,,,,,0:58,,,
https://games.crossfit.com/athlete/296835,Paul Mellors,United Kingdom,Men (35-39),155,111,180,,95,3:11,45,,,,22:00,,,,,
https://games.crossfit.com/athlete/1657300,Fabian Beneito,Spain,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/723553,Gauthier Lacroux,France,Men,,264,,1:55,198,,,,,,,,,,,
https://games.crossfit.com/athlete/163322,Kang Kyungsun,"Korea, Republic of",Men,415,285,,,225,,,,,,,,,,,
https://games.crossfit.com/athlete/1919155,Rory Foster,Ireland,Men,180,140,,,105,,4000,,,,19:10,,,,,
https://games.crossfit.com/athlete/742671,Matas Mačaitis,Lithuania,Men (35-39),180,135,220,,117,2:27,60,,,,21:15,,,,,
https://games.crossfit.com/athlete/2208349,Fran Hurtado,Costa Rica,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1435018,Tomás Joaninho,Portugal,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/680821,Riccardo Paparella,Italy,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1614832,Logan Hopkins,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1928933,Paweł Pokorny,Poland,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1050534,Thomas Warmer,United Kingdom,Men (40-44),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/87319,Guillaume Bouchard,France,Men (35-39),,,,,,,,,,,,,,,,
